col0,col1,col2
Peacock Records,Peacock,gospel music
Asylum Records,Asylum,heavy metal
Arto Records,Arto,blues
Universal Records,Universal Records,heavy metal
Vortex,Vortex,jazz
Vogue,Vogue,jazz
Blacksmith Records,Blacksmith Records,heavy metal
Jazzland,Jazzland,jazz
Storyville,Storyville,jazz
Perfect,Perfect,jazz
Galaxy,Galaxy,jazz
Cameo,Cameo,jazz
Sun Records,Sun Records,rock and roll
Baby Records,Baby Records,Italo disco
Mode Records,Mode Records,jazz
Cuca Records,Cuca,jazz
Atco Records,Atco,heavy metal
Disques Vogue,Vogue,jazz
East West Records,East West,pop music
Roaratorio,"Roaratorio, an Irish circus on Finnegans Wake",jazz
