col0,col1,col2
Základní škola a Mateřská škola,1996-05-23,public-benefit corporation
ZŠ a MŠ pro tělesně postižené,1996-06-28,public-benefit corporation
"Mateřská škola, Český Krumlov, Vyšehrad 168",1996-03-15,public-benefit corporation
"Mateřská škola, Český Krumlov, Tavírna 119",1996-03-15,public-benefit corporation
"Mateřská škola, Český Krumlov, Plešivec II/391",1996-03-11,public-benefit corporation
"Mateřská škola, Český Krumlov, Plešivec I/279",1996-03-11,public-benefit corporation
Mateřská škola,1996-03-11,public-benefit corporation
"Mateřská škola Kaplice, 1. Máje 771",1996-03-11,public-benefit corporation
Základní škola a Mateřská škola,1996-03-27,public-benefit corporation
ZŠ a MŠ J. Š. Baara,1996-03-27,public-benefit corporation
"Základní škola a Mateřská škola, L. Kuby 48, České Budějovice",1972-09-01,public-benefit corporation
"Základní škola a Mateřská škola, Kubatova 1, České Budějovice",1996-03-27,public-benefit corporation
"ZŠ, ZUŠ a MŠ Ledenice",1996-03-27,public-benefit corporation
Základní škola a Mateřská škola,1996-03-27,public-benefit corporation
ZŠ a MŠ T. G. Masaryka,1996-03-27,public-benefit corporation
Základní škola a Mateřská škola,1996-03-27,public-benefit corporation
Mateřská škola,1996-03-27,public-benefit corporation
Mateřská škola,1996-03-27,public-benefit corporation
Mateřská škola,1996-03-27,public-benefit corporation
Mateřská škola,1996-03-27,public-benefit corporation
