col0,col1,col2
De Dam,1897-01-01,844
Feico Clockpolder,1968-12-31,398
De Hoogte,1967-01-01,590
Leuringhpolder,1910-01-01,14
Korhorn,1974-01-01,619
Het Witte Lam,1968-01-01,101
Oudenzijlstermolenpolder,1971-01-01,457
Eindelijk,1967-01-01,295
Martinuspolder,1922-01-01,32
Finsterwolderhamrik,1968-12-31,359
Kropswolderbuitenpolder,1969-01-01,623
Nienoordsche polder,t497343211,59
Oostelijke Bedummerpolder,1970-01-01,1377
Kielsterpomp,t497216630,92
Huisweersterpolder,1969-12-31,800
Eendracht,1989-01-01,43
Krangeweersterpolder,1949-01-01,94
Tonnistil,1967-01-01,193
Galgepolder,1959-01-01,6
De Bolderij,1967-01-01,283
