col0,col1,col2
"U.S. Route Numbering Sub-Committee Agenda (October 14, 1967)",U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (December 2, 1988)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (June 7, 1988)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (December 4, 1987",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (May 25, 1987)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (November 8, 1986)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (June 9, 1986)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (October 11, 1985)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (December 7, 1984)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (May 23, 1984)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (October 1, 1983)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (June 20, 1983)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (November 19, 1982)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (June 28, 1982)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
"Route Numbering Committee Agenda (June 25, 1981)",Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
