col0,col1,col2,col3,col4
Medico-Chirurgical Society of Edinburgh,City of Edinburgh,medical society,United Kingdom,1821-01-01
Migrant Clinicians Network,Austin,medical society,United States of America,1984-01-01
Australian Orthopaedic Association,Sydney,medical society,Australia,1936-01-01
Canadian Veterinary Medical Association,Ottawa,medical society,Canada,1876-01-01
American Association for Geriatric Psychiatry,McLean,medical society,United States of America,1978-01-01
Philadelphia County Medical Society,Philadelphia,medical society,United States of America,1794-01-01
New South Wales Nurses' Association,Sydney,medical society,Australia,1931-01-01
British Society of Antimicrobial Chemotherapy,Birmingham,medical society,United Kingdom,1971-01-01
Royal College of Physicians,London Borough of Camden,medical society,United Kingdom,1518-01-01
Minnesota Medical Association,Minneapolis,medical society,United States of America,1853-01-01
