col0,col1,col2
Heinkel,1965-01-01,aircraft engine
Grumman,1994-01-01,F4F Wildcat
AEG,1996-10-02,home appliance
Aérospatiale,1999-01-01,airliner
Avro,1963-01-01,Lancaster
Lockheed Corporation,1995-01-01,F-104 Starfighter
Piasecki Helicopter Corporation,1960-01-01,helicopter
Boeing Helicopters,2008-01-01,helicopter
McDonnell Douglas,1997-01-01,helicopter
Hughes Aircraft Company,1997-01-01,aircraft
Armstrong Whitworth,1927-01-01,weapon
Arado Flugzeugwerke,1945-01-01,airplane
Sud Aviation,1970-07-10,aircraft with jet engines
Supermarine,1960-01-01,fighter
Republic Aviation Corporation,1965-01-01,helicopter
Messerschmitt-Bölkow-Blohm,1989-01-01,helicopter
Bell Aircraft Corporation,1960-07-05,helicopter
Kawanishi Aircraft Company,1940-01-01,aircraft
Caproni,1950-01-01,aircraft
Curtiss,1929-01-01,aircraft
