col0,col1,col2,col3
An Extension Study to Evaluate the Long-Term Safety of Lampalizumab in Participants With Geographic Atrophy,California Retina Consultants,atrophy,Genentech
Evaluation of Safety of Pomalidomide in Combination With Dexamethasone (Low Dose) in Patients With Refractory or Relapsed and Refractory Multiple Myeloma,Hospital Virgen de la Salud,multiple myeloma,Celgene
Dabrafenib and Trametinib in Treating Patients With Stage III-IV BRAF Mutant Melanoma That Cannot Be Removed by Surgery,Sky Ridge Medical Center,melanoma,National Cancer Institute
Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,Memorial Health University Medical Center,leukemia,National Cancer Institute
Abatacept in the Treatment of Uveitis,Oregon Health & Science University,uveitis,Oregon Health & Science University
Treatment for Non-Alcoholic Fatty Liver With Different Doses of Vitamin E,National Institutes of Health,Non-alcoholic fatty liver disease,National Institute of Diabetes and Digestive and Kidney Diseases
Clinical and Genetic Studies in Familial Non-medullary Thyroid Cancer,National Institutes of Health,carcinoma,National Institute of Diabetes and Digestive and Kidney Diseases
Metabolic Effects of Synthetic Thyroid Hormone for Thyroid Cancer Treatment,National Institutes of Health,carcinoma,National Institute of Diabetes and Digestive and Kidney Diseases
"Screening for Patients Needing Kidney, Kidney-Pancreas, or Islet-Cell Transplant",National Institutes of Health,diabetes mellitus,National Institute of Diabetes and Digestive and Kidney Diseases
Ultrasound and Other Images of Artery Blockages,National Institutes of Health,atherosclerosis,"National Heart, Lung, and Blood Institute"
New Techniques to Evaluate Mitral Regurgitation,National Institutes of Health,mitral valve insufficiency,"National Heart, Lung, and Blood Institute"
Study of Skin Tumors in Tuberous Sclerosis,National Institutes of Health,sclerosis,"National Heart, Lung, and Blood Institute"
Longitudinal Observational Study of Severe Asthma,National Institutes of Health,asthma,"National Heart, Lung, and Blood Institute"
Immunosuppressive Preparation Followed by Blood Cell Transplant for the Treatment of Blood Cancers in Older Adults,National Institutes of Health,leukemia,"National Heart, Lung, and Blood Institute"
Study of Smith-Lemli-Opitz Syndrome,National Institutes of Health,syndrome,Eunice Kennedy Shriver National Institute of Child Health and Human Development
Studies of Autistic Patients: Gene Networks and Clinical Subtypes,National Institutes of Health,sclerosis,Eunice Kennedy Shriver National Institute of Child Health and Human Development
A Pilot Study Using Anakinra/Kineret for the Treatment of Patients With Severe Atopic Dermatitis,National Institutes of Health,dermatitis,National Institute of Allergy and Infectious Diseases
Study of Mast Cell Precursors,National Institutes of Health,mastocytosis,National Institute of Allergy and Infectious Diseases
Study of Controlled Human Malaria Infections to Evaluate Protection After Intravenous or Intramuscular Administration of PfSPZ Vaccine in Malaria-Naive Adults,National Institutes of Health,malaria,National Institute of Allergy and Infectious Diseases
Longitudinal Analysis of Plasmodium Falciparum-Specific Immunity in Travelers and Immigrants From Malaria Endemic Areas to the United States,National Institutes of Health,malaria,National Institute of Allergy and Infectious Diseases
