col0,col1,col2
Dark Horse Comics,United States of America,Milwaukie
Comics House,Malaysia,Petaling Jaya
Dupuis,Belgium,Marcinelle
Image Comics,United States of America,Berkeley
Hakusensha,Japan,Chiyoda-ku
Mag Garden,Japan,Chiyoda-ku
Pika Édition,France,Boulogne-Billancourt
Gladstone Publishing,United States of America,Prescott
Soleil Productions,France,Toulon
Editora Vecchi,Brazil,Rio de Janeiro
Western Publishing,United States of America,Racine
IDW Publishing,United States of America,San Diego
All-American Publications,United States of America,Manhattan
Elex Media Komputindo,Indonesia,Central Jakarta
Daewon C.I.,South Korea,Seoul
Record Publishing House,Brazil,Rio de Janeiro
EBAL,Brazil,Rio de Janeiro
Oni Press,United States of America,Portland
Fantagraphics Books,United States of America,Seattle
Star Comics,Italy,Perugia
Chingwin Publishing Group,Taiwan,Taipei
Schibsted Forlag,Sweden,Stockholm
