col0,col1,col2
New Zealand Go Society,New Zealand Go Society,Go
Gulf Cup Federation,Arab Gulf Cup Football Federation,association football
Norwegian Skating Association,Norwegian Skating Association,figure skating
Tennis New Zealand,New Zealand Lawn Tennis Association,tennis
Rowing Federation of India,Rowing Federation of India,rowing
Tennis South Africa,Tennis South Africa,tennis
Niue Island Soccer Association,Niue Island Soccer Association,association football
Football Federation of Sri Lanka,Football Federation  of Sri Lanka,association football
All Nepal Football Association,All Nepal football Association,association football
U.S. Virgin Islands Soccer Federation,USVI Soccer Association,association football
Kiribati Islands Football Association,Kiribati Islands Football Association,association football
