col0,col1,col2
Dekanat Jarosław II,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Dekanat Kitzingen,Roman Catholic Diocese of Würzburg,Catholic Church
Dekanat Schweinfurt-Süd,Roman Catholic Diocese of Würzburg,Catholic Church
Dekanat Obernburg,Roman Catholic Diocese of Würzburg,Catholic Church
Dekanat Alzenau,Roman Catholic Diocese of Würzburg,Catholic Church
Dekanat Łańcut II,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Dekanat Łańcut I,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Warsaw deaconate,Warsaw-Bielsko diocese,Orthodox Christianity
Dekanat Toruń III,Roman Catholic Diocese of Toruń,Catholic Church
Sieniawa deanery,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Poznań-Jeżyce deanery,Roman Catholic Archdiocese of Poznań,Catholicism
Kraków-Bronowice Deanery,Roman Catholic Archdiocese of Kraków,Catholic Church
Dekanat Kańczuga,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Szentendre deanery,Roman Catholic Archdiocese of Esztergom-Budapest,Catholicism
Dekanat Krosno II,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Dekanat Jaćmierz,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Dekanat Jarosław III,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Dekanat Jarosław I,Roman Catholic Archdiocese of Przemyśl,Catholic Church
Churches in Dekanat Gdynia-Oksywie,Roman Catholic Archdiocese of Gdańsk,Catholic Church
Dekanat Gdańsk-Przymorze,Roman Catholic Archdiocese of Gdańsk,Catholic Church
