col0,col1,col2
1997 Pontins Professional,World Professional Billiards and Snooker Association,Martin Clark
1985 Classic,World Professional Billiards and Snooker Association,Willie Thorne
1984 Pontins Professional,World Professional Billiards and Snooker Association,Willie Thorne
1990 Classic,World Professional Billiards and Snooker Association,Steve James
1992 Pontins Professional,World Professional Billiards and Snooker Association,Steve James
1982 International Open,World Professional Billiards and Snooker Association,Tony Knowles
1979 Kronenbrau 1308 Classic,World Professional Billiards and Snooker Association,Eddie Charlton
1979 Limosin International,World Professional Billiards and Snooker Association,Eddie Charlton
1989 Classic,World Professional Billiards and Snooker Association,Doug Mountjoy
1983 Pontins Professional,World Professional Billiards and Snooker Association,Doug Mountjoy
1979 Irish Masters,World Professional Billiards and Snooker Association,Doug Mountjoy
1989 Pontins Professional,World Professional Billiards and Snooker Association,Darren Morgan
1988 Dubai Masters,World Professional Billiards and Snooker Association,Neal Foulds
