col0,col1,col2
Coxford Priory,United Kingdom,scheduled monument
Cornworthy Priory,United Kingdom,scheduled monument
Colne Priory,United Kingdom,scheduled monument
Catley Priory,United Kingdom,scheduled monument
Castle Acre Priory,United Kingdom,scheduled monument
Canonsleigh Abbey,United Kingdom,scheduled monument
Bushmead Priory,United Kingdom,scheduled monument
Burscough Priory,United Kingdom,scheduled monument
Bullington Priory,United Kingdom,scheduled monument
Brinkburn Priory,United Kingdom,scheduled monument
Bradenstoke Priory,United Kingdom,scheduled monument
Blythburgh Priory,United Kingdom,scheduled monument
Blyth Priory,United Kingdom,scheduled monument
Birkenhead Priory,United Kingdom,scheduled monument
prieuré de Moussy (Val-d'Oise),France,monument historique classé
Prieuré Saint-Xantin,France,monument historique classé
Prieuré de Saint-Pierre-en-Chastres,France,monument historique classé
Prieuré du Villars,France,monument historique classé
Prieuré Saint-Symphorien de Marolles-les-Braults,France,registered historic monument
