col0,col1,col2,col3,col4,col5,col6
Aradhippou,Communities of Cyprus Republic,UTC+02:00,Mayor of Aradhippou,Union of Cyprus Municipalities,Larnaca District,Agios Fanourios
Nicosia Municipality,municipalities of Cyprus Republic,UTC+02:00,Mayor of Nicosia Municipality,Union of Cyprus Municipalities,Nicosia District,Pallouriotissa
Dromolaxia–Meneou Municipality,municipalities of Cyprus Republic,UTC+02:00,Mayor of Dromolaxia-Meneou,Union of Cyprus Municipalities,Larnaca District,Dromolaxia
Ayios Athanasios,municipalities of Cyprus Republic,UTC+02:00,Mayor of  Ayios Athanasios Municipality,Union of Cyprus Municipalities,Limassol District,Αpostle Lyke
Dali,municipalities of Cyprus Republic,UTC+02:00,Mayor of Dali,Union of Cyprus Municipalities,Nicosia District,Agioi Konstantinos kai Eleni
Agios Dometios,municipalities of Cyprus Republic,UTC+02:00,Mayor of Ayios Dometios,Union of Cyprus Municipalities,Nicosia District,Agios Pavlos
Latsia,municipalities of Cyprus Republic,UTC+02:00,Mayor of Latsia Municipality,Union of Cyprus Municipalities,Nicosia District,Agios Georgios
Kato Polemidia,municipalities of Cyprus Republic,UTC+02:00,Mayor of Kato Polemidia Municipality,Union of Cyprus Municipalities,Limassol District,Archangel Michael
Aradhippou,municipalities of Cyprus Republic,UTC+02:00,Mayor of Aradhippou,Union of Cyprus Municipalities,Larnaca District,Agios Fanourios
Strovolos,municipalities of Cyprus Republic,UTC+02:00,Mayor of Strovolos,Union of Cyprus Municipalities,Nicosia District,Chryseleousa
Mesa Geitonia,municipalities of Cyprus Republic,UTC+02:00,Mayor of Mesa Geitonia Municipality,Union of Cyprus Municipalities,Limassol District,Kontovathkia
