col0,col1,col2,col3,col4
Arsenal de Neuf-Brisach,France,arsenal,Neuf-Brisach,registered historic monument
Arsenał Wrocławski przy Bramie Mikołajskiej,Poland,arsenal,Wrocław,object on the Polish cultural heritage register
York Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Willimantic Armory,United States of America,arsenal,Connecticut,place listed on the National Register of Historic Places
Williamsport Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Waynesboro Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Watervliet Arsenal,United States of America,arsenal,Watervliet,National Historic Landmark
Warren Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Tyrone Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Tower Building of the Little Rock Arsenal,United States of America,arsenal,Little Rock,place listed on the National Register of Historic Places
Sunbury Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
State Armory,United States of America,arsenal,Massachusetts,place listed on the National Register of Historic Places
