col0,col1,col2
Independent Republicans,La Roche-sur-Yon,1966-06-01
Liberal Alliance of Montenegro,Cetinje,1990-01-01
Uri Party,Yeongdeungpo District,2003-11-11
Party Alliance Our Moldova,Chișinău,2003-07-19
Unió Mallorquina,Palma,1982-01-01
Convergence for the Isles,Palma,2011-03-02
Democratic Party,Cape Town,1989-01-01
Independent Democrats,Cape Town,2003-06-21
Liberal Democratic Party,Nairobi,2002-01-01
National Alliance of Liberals,Accra,1969-01-01
Democratic Party,Belgrade,1919-01-01
Free Trade Party,Canberra,1880-01-01
Liberal Party,Canberra,1909-01-01
Democratic Federal Republican Party,Madrid,1868-01-01
German Forum Party,Chemnitz,1990-01-01
National-Social Association,Leipzig,1896-01-01
Alliance of Free Democrats,Budapest,1988-11-13
Latvian Way,Riga,1993-09-25
Liberal Party,Reykjavík,1998-11-28
Progressive Democrats,Dublin,1985-12-21
