col0,col1,col2,col3
Tokyo Metropolitan Saginomiya High School,21,Nakano-ku,1912-01-01
Tokyo Metropolitan Komaba High School,24,Meguro-ku,1902-01-01
Tokyo Metropolitan Nerima High School,21,Nerima-ku,1963-01-01
Tokyo Metropolitan Shakujii High School,22,Nerima-ku,1940-01-01
Tokyo Metropolitan Kuramae Technical High School,15,Taitō-ku,1924-01-01
Tokyo Metropolitan Hakuo Senior High School-Junior High School,12,Taitō-ku,1888-01-01
Tokyo Metropolitan Nishihaka High School,24,Suginami-ku,1937-01-22
Toritsu Arakawa Kōgyō Kōtō Gakkō,15,Arakawa-ku,1948-01-01
Tokyo Metropolitan Den Enchofu High School,18,Ōta-ku,1950-05-20
Shinozaki High School,21,Edogawa-ku,1977-04-01
Tokyo Metropolitan Adachi High School,22,Adachi-ku,1911-01-01
Kohoku High School,24,Adachi-ku,1938-01-01
Tokyo Metropolitan Takehaya Senior High School,19,Bunkyō-ku,1899-01-01
Tokyo Metropolitan Shiba Commercial High School,18,Minato-ku,1924-01-01
"Tokyo Metropolitan Senior High School of Fine Arts, Performing Arts and Classical Music",12,Shinjuku-ku,2009-10-01
