col0,col1,col2,col3,col4
Jeecy-Vea,Brussels metropolitan area,automotive industry,1927-01-01,1923-01-01
Cottereau vehicles,Dijon,automotive industry,1911-01-01,1891-01-01
Humber Limited,Coventry,automotive industry,1967-01-01,1898-01-01
Victoria,Nuremberg,automotive industry,1966-01-01,1901-01-01
IVM,Munich,automotive industry,2002-01-01,1968-01-01
Moretti Motor Company,Turin,automotive industry,1989-01-01,1926-01-01
Della Ferrera,Turin,automotive industry,1948-01-01,1909-01-01
Fimer,Milan,automotive industry,1957-01-01,1947-01-01
Garelli Motorcycles,Milan,automotive industry,2012-01-01,1919-01-01
New-Map,Lyon,automotive industry,1959-01-01,1920-01-01
Rigal,France,automotive industry,1903-01-01,1902-01-01
Gnome et Rhône,Paris,automotive industry,1945-05-29,1915-01-12
Güldner,Aschaffenburg,mechanical engineering,1991-01-01,1904-01-01
