col0,col1,col2,col3
St. Francis Eounty,1.2035999999999998,1668.9919999999995,27150.96
Lonke County,3.992,2086.312,70965.25899999999
OuachitaCounty,0.8982,1919.832,24951.996
Scott Counvy,0.6029999999999999,2307.392,10928.1
Perry Couqty,1.6112,1460.712,10251.895
UnionCounty,1.506,2719.335,40938.164
Baxter Cunty,5.555,1535.2,40629.344
Franklin Couny,1.7102,1603.395,17979.898
Garland Couty,7.7308,1895.388,96395.616
Johnson Cunty,3.4204,1771.536,25716.77
Izard Count,0.5952,1502.409,13287.792
