col0,col1,col2,col3
Kyowa Hakko Kirin,Japan,Kyowa Hakko Kirin (Singapore),Otemachi Financial City Grand Cube
Orion Corporation,Finland,Orion Pharma (UK) Limited,Niittykumpu
Takeda Pharmaceutical Company,Japan,Takeda (United States),Chūō-ku
Shionogi,Japan,Shionogi Institute For Medical Science,Chūō-ku
Takeda Pharmaceutical Company,Japan,Takeda (Germany),Chūō-ku
Sumitomo Dainippon Pharma,Japan,Dainippon Sumitomo Pharma (United States),Chūō-ku
Takeda Pharmaceutical Company,Japan,Shire plc,Chūō-ku
Mylan,United States of America,Meda AB,Canonsburg
Daiichi Sankyo,Japan,Daiichi Sankyo (Germany),Chūō-ku
Astellas Pharma,Japan,Astellas Pharma (United States),Chūō-ku
Laboratoires Servier,France,Servier (United Kingdom),Suresnes
Boehringer Ingelheim,Germany,Boehringer Ingelheim (United States),Ingelheim am Rhein
Bausch Health,Canada,Sanitas,Laval
