col0,col1,col2,col3
Annonay Rhône Agglo,49955,29,France
Communauté d'agglomération Pau Béarn Pyrénées,166399,31,France
Communauté d'agglomération Hermitage-Tournonais-Herbasse-Pays de Saint Félicien,58684,41,France
Communauté d'agglomération de Saint-Dié-des-Vosges,77932,77,France
Communauté d’agglomération Creil Sud Oise,87556,11,France
Communauté d'agglomération de la région Dieppoise,48899,16,France
Redon Agglomération,68537,31,France
communauté d'agglomération du Grand Guéret,30387,25,France
communauté d'agglomération Sud Sainte Baume,62072,9,France
Communauté de communes Caux vallée de Seine,78505,50,France
Rodez Agglomération,58526,8,France
Grand Calais Terres et Mers,104918,10,France
Communauté d'agglomération du Centre de la Martinique,159688,4,France
Communauté d'agglomération dracénoise,110019,23,France
Communauté d'agglomération de la Riviera Française,73563,15,France
Communauté d'agglomération Cannes Pays de Lérins,160385,5,France
Urban community of Vesoul,33926,20,France
Communauté d'agglomération de Saintes,62280,36,France
Communauté d’agglomération de La Rochelle,173780,28,France
communauté d'agglomération Var Estérel Méditerranée,114877,5,France
