col0,col1,col2,col3,col4,col5
Toholamp,Toholampi municipal council,Kokkola,Finland,UTC+02:00,1865/01/01
Larsm,Larsmo municipal council,Kokkola,Finland,UTC+02:00,1867/01/01
Kausinen,Kaustinen municipal council,Kokkola,Finland,UTC+02:00,1866/01/01
Trnio,Tornio City Council,Kemi,Finland,UTC+02:00,1621/01/01
Llomanti,Ilomantsi municipal council,Joensuu,Finland,UTC+02:00,1875/01/01
Muonlo,Muonio municipal council,Pajala Municipality,Finland,UTC+02:00,1868/01/01
Ulvil,Ulvila City Council,Pori,Finland,UTC+02:00,1365/01/01
Lhank,Luhanka municipal council,Jyväskylä,Finland,UTC+02:00,1864/01/01
Tuusua,Tuusula municipal council,Vantaa,Finland,UTC+02:00,1643/01/01
Keravd,Kerava City Council,Vantaa,Finland,UTC+02:00,1970/01/01
Sofankyl,Sodankylä municipal council,Rovaniemi,Finland,UTC+02:00,1893/01/01
