col0,col1,col2,col3,col4
Brooklandville House,United States of America,place listed on the National Register of Historic Places,Maryland,tavern
Black Horse Tavern,United States of America,place listed on the National Register of Historic Places,Cumberland Township,tavern
Black Horse Tavern,United States of America,place listed on the National Register of Historic Places,Belfast,tavern
Apple Tavern,United States of America,place listed on the National Register of Historic Places,Guilderland,tavern
Amos Bristol Tavern,United States of America,place listed on the National Register of Historic Places,Meredith,tavern
Fraunces Tavern,United States of America,place listed on the National Register of Historic Places,Manhattan,tavern
Union Tavern,United States of America,National Historic Landmark,Milton,tavern
The Tavern,United States of America,place listed on the National Register of Historic Places,Arkansas,building
Teddy's Tavern,United States of America,place listed on the National Register of Historic Places,Delaware,building
Old Rose Tree Tavern,United States of America,place listed on the National Register of Historic Places,Pennsylvania,building
Mixer Tavern,United States of America,place listed on the National Register of Historic Places,Connecticut,building
Defibaugh Tavern,United States of America,place listed on the National Register of Historic Places,Pennsylvania,building
Crossed Keys Tavern,United States of America,place listed on the National Register of Historic Places,Ohio,building
