col0,col1,col2
Batman vrsus Predator Vol 2,Batman,"DC Comics, Inc."
Batman/Catwoman: Traio of the Gun,Batman,"DC Comics, Inc."
Planetay/Batman: Night on Earth,Batman,"DC Comics, Inc."
Batman: Hong Kpng,Batman,"DC Comics, Inc."
Daredevkl/Batman: Eye for an Eye,Batman,"DC Comics, Inc."
Batman/Lobo= Deadly Serous,Batman,"DC Comics, Inc."
Batman/Aliens I,Batman,"DC Comics, Inc."
Batman nd Punisher,Punisher,"DC Comics, Inc."
The Joker: Devil's Advocdte,Joker,"DC Comics, Inc."
Batman versus Predaor,Batman,"DC Comics, Inc."
Monica't Gang,Blu,Panini Comics
