col0,col1,col2,col3,col4,col5,col6
Jean Lafitte National Historical Park and Preserve,national preserve,Louisiana,United States of America,1978-01-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Mojave National Preserve,national preserve,San Bernardino County,United States of America,1994-10-31,National Park Service,IUCN category V: Protected Landscape/Seascape
Bering Land Bridge National Preserve,national preserve,Northwest Arctic Borough,United States of America,1978-12-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Wrangell–St. Elias National Park and Preserve,national preserve,Yakutat,United States of America,1980-01-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Lake Clark National Park and Preserve,national preserve,Bethel Census Area,United States of America,1978-01-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Katmai National Park and Preserve,national preserve,Alaska,United States of America,1980-01-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Great Sand Dunes National Park and Preserve,national preserve,Colorado,United States of America,2004-01-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Gates of the Arctic National Park and Preserve,national preserve,Yukon–Koyukuk Census Area,United States of America,1980-01-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Aniakchak National Monument and Preserve,national preserve,Lake and Peninsula Borough,United States of America,1978-12-01,National Park Service,IUCN category V: Protected Landscape/Seascape
Yukon–Charley Rivers National Preserve,national preserve,Yukon–Koyukuk Census Area,United States of America,1978-12-01,National Park Service,IUCN category V: Protected Landscape/Seascape
