col0,col1,col2,col3,col4
Arnoldo Mondadori Editore,Segrate,Italy,1907-01-01,Ostiglia
Salani,Milan,Italy,1862-01-01,Florence
Messaggerie italiane,Milan,Italy,1914-01-01,Bologna
Skira,Milan,Italy,1928-01-01,Lausanne
UTET,Milan,Italy,1791-01-01,Turin
Guanda editions,Milan,Italy,1932-01-01,Modena
Hachette,Milan,France,1826-01-01,Paris
Morcelliana,Brescia,Italy,1925-01-01,Brescia
Silvana Editoriale,Cinisello Balsamo,Italy,1948-01-01,Milan
Alpha Test,Milan,Italy,1987-01-01,Milan
Raffaello Cortina editore,Milan,Italy,1980-01-01,Milan
