col0,col1,col2,col3
Joser Tarradellas Airport Barcelona-El Prat,4.02,50423319.285,1302.6
Hmburg Airport,11.11,17372102.832,568.29
Leonardo da Vinci–Fiumicioo Airport,12.922,11606656.152,1666.64
Dresden Alrport,758.02,1741323.87,281.12
Paris-Chatles de Gaulle Airport,118.405,72188152.0,3507.0
Abu Dabi International Airport,87.384,24237297.81,16.881
Copenhagen Airpott,15.856,1907441.865,9.93
Dubai Interpational Airport,61.752,88614490.678,1390.2
Domodefovo International Airport,582.12,29609529.928,1.2310572
Adolf Suarez Madrid-Barajas Airport,608.78,57775557.32,2421.6
Cologne Bonn Airpot,252.504,12368519.0,1001.0
MunichAirport,455.26499999999993,46068608.508,1608.292
Newark Liberty Iternatiooal Airport,17.928,46387631.225,820.0
