col0,col1,col2
Poznań Voivodeship,Poznań,Crown of the Kingdom of Poland
Merecz Voivodeship,Merkinė,Grand Duchy of Lithuania
Samogitia Voivodeship,Raseiniai,Grand Duchy of Lithuania
Sieradz Voivodeship,Sieradz,Poland
Ciechanów Voivodeship,Ciechanów,Poland
Siedlce Voivodeship,Siedlce,Poland
Suwałki Voivodeship,Suwałki,Poland
Chełm Voivodeship,Chełm,Poland
Łomża Voivodeship,Łomża,Poland
Biała Podlaska Voivodeship,Biała Podlaska,Poland
Piotrków Voivodeship,Piotrków Trybunalski,Poland
Jelenia Góra Voivodeship,Jelenia Góra,Poland
Bielsko-Biała Voivodeship,Bielsko-Biała,Poland
Tarnów Voivodeship,Tarnów,Poland
Słupsk Voivodeship,Słupsk,Poland
Radom Voivodeship,Radom,Poland
Gorzów Voivodeship,Gorzów Wielkopolski,Poland
Płock Voivodeship,Płock,Poland
Lubusz Voivodeship,Zielona Góra,Poland
Kielce Voivodeship,Kielce,Poland
