col0,col1,col2
Rainwater Observatory and Planetarium,French Camp Academy,Mississippi
Haystack Observatory,Massachusetts Institute of Technology,Massachusetts
Itapetinga Radio Observatory,National Institute for Space Research,São Paulo
University of Alabama Observatory,University of Alabama,Alabama
Killarney Provincial Park Observatory,Killarney Provincial Park,Killarney Provincial Park
Amundsen–Scott South Pole Station,United States Antarctic Program,Antarctic Treaty area
Elginfield Observatory,University of Western Ontario,Middlesex Centre
Kitt Peak National Observatory,National Optical Astronomy Observatory,Sells
Einstein Tower,Leibniz Institute for Astrophysics Potsdam,Potsdam-Süd
Molėtai Astronomical Observatory,Vilnius University Institute of Theoretical Physics and Astronomy,Molėtai District Municipality
Owens Valley Radio Observatory,California Institute of Technology,Owens Valley
Ondřejov Observatory,Astronomical Institute of Czech Academy of Sciences,Ondřejov
Yerkes Observatory,University of Chicago,Williams Bay
Karl Schwarzschild Observatory,German Academy of Sciences at Berlin,Tautenburg
Lund Observatory,Lund University,Lund Municipality
Indian Astronomical Observatory,Indian Institute of Astrophysics,Hanle
Vatican Observatory,Holy See,Castel Gandolfo
South African Astronomical Observatory,National Research Foundation of South Africa,Northern Cape
Lulin Observatory,National Central University,Nantou County
