col0,col1,col2,col3
11th Army Corps,World War I,corps,Russian Empire
IV Corps,World War II,corps,United States of America
Anders' Army,World War II,corps,United Kingdom
XV Corps,World War I,corps,German Empire
IV Corps,World War I,corps,Prussia
I Corps,World War II,corps,United States of America
III Corps,World War I,corps,United States of America
XV Mountain Corps,World War II,corps,Nazi Germany
6th Army Corps,World War I,corps,Russian Empire
Guards Corps,World War I,corps,Prussia
II Corps,World War I,corps,German Empire
III Army Corps,World War II,corps,Nazi Germany
II Army Corps,World War II,corps,Nazi Germany
