col0,col1,col2
Zeze Domain,1871-01-01,Zeze
Chōfu Domain,1871-01-01,Chōfu
Matsushiro Domain,1871-01-01,Matsushiro
Tango-Mineyama Domain,1871-01-01,Mineyama
Tsushima-Fuchū Domain,1871-01-01,Izuhara
Yoita Domain,1871-01-01,"Yoita, Niigata"
Takatō Domain,1871-01-01,"Takatō, Nagano"
Sagara Domain,1868-01-01,"Sagara, Shizuoka"
Kurokawa Domain,1871-01-01,"Kurokawa, Niigata"
Kururi Domain,1871-01-01,Kururi
Yodo Domain,1871-01-01,Yodo-juku
Iwatsuki Domain,1871-01-01,Iwatsuki-ku
Tokuyama Domain,1871-01-01,Tokuyama
