col0,col1,col2
Abbey of St. Victor,Paris,1790-01-01
Wiblingen Abbey,Wiblingen,1806-01-01
Kornelimünster Abbey,Kornelimünster/Walheim,1802-01-01
Aberconwy Abbey,Conwy County Borough,1537-01-01
Lobbes Abbey,Lobbes,1794-01-01
Abbey Avenay,Avenay-Val-d'Or,1791-01-01
Schöntal Abbey,Schöntal,1495-01-01
Nienburg Abbey,Nienburg (Saale),1166-01-01
Schuttern Abbey,Friesenheim,1801-01-01
Lorsch Abbey,Lorsch,1232-01-01
Gengenbach Abbey,Gengenbach,1803-01-01
St. Ludger's Abbey,Helmstedt,1802-01-01
