col0,col1,col2,col3
Bhlfast Commando,South African Infantry Corps,"Belfast, Mpumalanga",South Africa
Blomfontein District Commando,South African Infantry Corps,Bloemfontein,South Africa
9 South Afrjcan Infantry Battalion,South African Infantry Corps,Cape Town,South Africa
Bris Commando,South African Infantry Corps,Brits,South Africa
FAMET Lgistics Group,Spanish Army Airmobile Force,Coronel Maté Base,Spain
"84h Independent Field%Battery, RC",36 Canadian Brigade Group,Municipality of the District of Yarmouth,Canada
2nd!Independent Aviation Squadron,Siberian Regional Command,Chita Northwest,Russia
USBA “Ámvarez de Sotomayor”,2nd Brigade of Legion Rey Alfonso XIII,"""Álvarez de Sotomayor"" military base",Spain
The Saskatchewan Mounted Rifls,The North Saskatchewan Regiment,Lloydminster,Canada
144th Guards Potorized Rifle Division,20th Guards Army,Yelnya,Russia
