col0,col1,col2
Belo Horizonte,760,Municipal Chamber of Belo Horizonte
Fortaleza,21,Municipal Chamber of Fortaleza
Salvador,8,Municipal Chamber of Salvador
São Luís,4,Municipal Chamber of São Luís
Campinas,685,Municipal Chamber of Campinas
Guarulhos,759,Municipal Chamber of Guarulhos
Belém,10,Municipal Chamber of Belém
São José dos Campos,660,municipal chamber of Sao Jose dos Campos
São Vicente,6,municipal chamber of Sao Vicente
Sorocaba,601,municipal chamber of Sorocaba
Santa Maria,113,municipal Chamber de Santa Maria
Natal,30,municipal chamber of Natal
