col0,col1,col2
Frankfurter Verein für Luftfahrt,1908-01-01,Egelsbach
Heimatbund und Geschichtsverein Herzogtum Lauenburg,1883-01-01,Ratzeburg
Bayerische Gesellschaft für Geburtshilfe und Frauenheilkunde,1912-01-01,Buchloe
Gesellschaft für Pflanzenzüchtung,1991-01-01,Göttingen
Kommunale Arbeitsgemeinschaft Bergisch Land,1949-01-01,Solingen
Max-Scheler-Gesellschaft,1993-01-01,Erfurt
Bayerischer Landesverein für Familienkunde,1922-05-19,Munich
Verein zum Schutz der Bergwelt,1900-01-01,Munich
Geographische Gesellschaft zu Hannover,1878-10-21,Hanover
Hanseatic Help,2015-01-01,Hamburg
Musikverein Stuttgart-Hofen 1905 e.V.,1905-01-01,Stuttgart
Sonnenwagen Aachen,2015-01-01,Aachen
Ringhotels,1973-01-25,Bavaria
Bündnis Bürgerenergie e.V.,2014-01-01,Berlin
