col0,col1,col2
Bäve parish,1944-12-31,Diocese of Gothenburg
Gamlestads church parish,1968-12-31,Diocese of Gothenburg
Säters landsförsamling,1951-12-31,Diocese of Västerås
Sundre parish,2005-12-31,Diocese of Visby
Tierp parish,2008-12-31,Archdiocese of Uppsala
Söderhamns församling,2017-12-31,Archdiocese of Uppsala
Svinnegarns församling,2005-12-31,Archdiocese of Uppsala
Sånga församling,1991-12-31,Diocese of Stockholm
Södra Vånga church parish,1988-12-31,Diocese of Skara
Sövestad parish,2001-12-31,Diocese of Lund
Södra Mellby,2001-12-31,Diocese of Lund
