col0,col1,col2,col3
Indiana Wesleyan University,Marion,"professions focus, some graduate coexistence","4201 South Washington Street, Marion, IN, 46953-4974"
Grace College & Seminary,Winona Lake,"professions plus arts & sciences, some graduate coexistence","200 Seminary Dr, Winona Lake, IN, 46590-1274"
Hobe Sound Bible College,Florida,"professions plus arts & sciences, no graduate coexistence","11298 SE Gomez Ave, Hobe Sound, FL, 33455-1065"
Mount St. Mary's University,Maryland,"balanced arts & sciences/professions, some graduate coexistence","16300 Old Emmitsburg Road, Emmitsburg, MD, 21727-7799"
Lutheran School of Theology at Chicago,Hyde Park,research doctoral: single program - other,"1100 E 55th St, Chicago, IL, 60615-5134"
Indiana Wesleyan University,Marion,research doctoral: single program - other,"4201 South Washington Street, Marion, IN, 46953-4974"
Iliff School of Theology,Denver,research doctoral: single program - other,"2323 E. Iliff Ave., Denver, CO, 80210-4798"
Lutheran Theological Seminary at Philadelphia,Pennsylvania,research doctoral: single program - other,"7301 Germantown Ave, Philadelphia, PA, 19119-1794"
Lutheran School of Theology at Chicago,Chicago,research doctoral: single program - other,"1100 E 55th St, Chicago, IL, 60615-5134"
Houston Graduate School of Theology,Houston,"postbaccalaureate: other-dominant, with other professional programs","4300C West Bellfort, Houston, TX, 77035-3602"
Grace College & Seminary,Winona Lake,"postbaccalaureate: other-dominant, with arts & sciences","200 Seminary Dr, Winona Lake, IN, 46590-1274"
