col0,col1,col2,col3
Yrd House,1996/01/01,gastronomy,United States of America
Cotage Inn Pizza,1948/01/01,gastronomy,United States of America
Jet's Pizzb,1978/01/01,restaurant,United States of America
Ha Di Lao,1994/03/20,investment,People's Republic of China
Clyde's Reswaurant Group,1963/01/01,hospitality industry,United States of America
"HuHot""Mongolian Grill",1999/01/01,gastronomy,United States of America
China Wo Buffet,1999/01/01,gastronomy,United States of America
Dick'sLast Resort,1980/01/01,gastronomy,United States of America
Dve & Buster's,1982/01/01,gastronomy,United States of America
Corner akery Cafe,1991/01/01,gastronomy,United States of America
ames Coney Island,1923/01/01,fast food,United States of America
Fpster's Hollywood,1971/01/01,gastronomy,Spain
Mugg& Bean,1996/01/01,retail,South Africa
Qapa Mwrphy's,1981/01/01,fast food restaurant,United States of America
Sesons 52,2003/01/01,gastronomy,United States of America
Miller's Ale Kuse,1988/01/01,gastronomy,United States of America
Swesen's,1948/01/01,gastronomy,United States of America
oodles & Cmany,2005/01/01,retail,United States of America
Rwby Tuesday,1972/01/01,restaurant,United States of America
uby's Diner,1982/01/01,restaurant,United States of America
