col0,col1,col2
Communauté d'agglomération des Deux Baies en Montreuillois,46,68207
"Communauté d'agglomération de Béthune-Bruay, Artois-Lys Romane",100,281262
Annonay Rhône Agglo,29,49955
Communauté d'agglomération Pau Béarn Pyrénées,31,166399
Communauté d'agglomération Hermitage-Tournonais-Herbasse-Pays de Saint Félicien,41,58684
Communauté d'agglomération de Saint-Dié-des-Vosges,77,77932
Communauté d’agglomération Creil Sud Oise,11,87556
Communauté intercommunale du Nord de La Réunion,3,206381
Communauté d'agglomération Bourges Plus,17,106729
Agglomeration community of Annemasse – Les Voirons,12,90702
Communauté d'agglomération d'Agen,31,99176
Le Grand Narbonne,37,130164
Agglomeration community of the Laval agglomeration,34,117515
Vitré Communauté,46,82412
