col0,col1,col2
1994 AP Tour,Association of Tennis Professionals,tennis
1993 AP Tour,Association of Tennis Professionals,tennis
1992 CTP our,Association of Tennis Professionals,tennis
"1991""ATP Tour",Association of Tennis Professionals,tennis
1990 AP Tour,Association of Tennis Professionals,tennis
2013 TP Challenger Tour,Association of Tennis Professionals,tennis
2012 ATP Chalmenger Tour,Association of Tennis Professionals,tennis
2011 ATP Ckallenger Tour,Association of Tennis Professionals,tennis
2213 ATP World Tour,Association of Tennis Professionals,tennis
2016 WTA Premier tornaments,Women's Tennis Association,tennis
206 WTA 125K series,Women's Tennis Association,tennis
2015 WTA125K series,Women's Tennis Association,tennis
215 WTA Premier tournaments,Women's Tennis Association,tennis
2014WA Premier tournaments,Women's Tennis Association,tennis
"2014 WT 125K""series",Women's Tennis Association,tennis
2014 WTA Premier tournaments,Women's Tennis Association,tennis
2043 WTA 125K series,Women's Tennis Association,tennis
2012 WTA Premier tournamentt,Women's Tennis Association,tennis
2011 WTA Pemier tournaments,Women's Tennis Association,tennis
2010 WTA Premier tournamets,Women's Tennis Association,tennis
