col0,col1,col2
Colombian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
German men's U23 national road cycling team 2015,2015-12-31,under-23 sport
Netherlands men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Italian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Spanish men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Russian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Latvian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Slovenian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
British men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Danish men's U23 national road cycling team 2015,2015-12-31,under-23 sport
Danish men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Norwegian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Australian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Italian men's U23 national road cycling team 2015,2015-12-31,under-23 sport
Australian men's U23 national road cycling team 2015,2015-12-31,under-23 sport
United States men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Iranian men's U23 national road cycling team 2016,2016-12-31,under-23 sport
Mongol men's U23 national road cycling team 2016,2016-12-31,under-23 sport
British men's U23 national road cycling team 2015,2015-12-31,under-23 sport
Spanish men's U23 national road cycling team 2015,2015-12-31,under-23 sport
