col0,col1,col2,col3
Wellington Phoenix FC,Wellington,Chris Greenacre,Wellington Regional Stadium
Livingston F.C.,City of Edinburgh,Gary Holt,Almondvale Stadium
FC Bayern Munich II,Munich,Erik ten Hag,Grünwalder Stadion
Ashanti Gold SC,Ashanti Region,Joachim Yaw,Len Clay Stadium
Vendsyssel FF,Hjørring Municipality,Jens Berthel Askou,Hjørring Stadium
St. Johnstone F.C.,Perth and Kinross,Tommy Wright,McDiarmid Park
Raith Rovers F.C.,Fife,John McGlynn,Stark's Park
Formartine United F.C.,Scotland,Steve Paterson,North Lodge Park
Al Ahly SC,Nasr City,Mohamed Youssef,Cairo International Stadium
East Fife F.C.,Fife,Billy Brown,Bayview Stadium
Akhisar Belediyespor,Akhisar,Cihat Arslan,Akhisar Stadium
FC Rotor Volgograd,Volgograd,Alyaksandr Khatskevich,Volgograd Arena
Clyde F.C.,Glasgow City,Jim Duffy,Broadwood Stadium
