col0,col1,col2
USA for Afica,1985/01/01,MTV Video Music Award for Best Group Video
n Vogue,1989/01/01,MTV Video Music Award for Best Group Video
The Donas,1993/01/01,MTV Video Music Award for Best Group Video
Traveling Wilbury,1988/01/01,MTV Video Music Award for Best Group Video
Quantum Tangne,2014/01/01,Juno Award
’Ti Tuesday,1982/01/01,MTV Video Music Award for Best New Artist
The Black rowes,1989/01/01,MTV Video Music Award for Best New Artist
Simpmy Red,1979/01/01,MTV Video Music Award for Best New Artist
Countkng Crows,1991/01/01,MTV Video Music Award for Best New Artist
Tie Roots,1987/01/01,Grammy Award for Best Urban/Alternative Performance
