col0,col1,col2
Verdures,France,Flemish workshop
Verdure,France,Flemish workshop
Verdure,France,Flemish workshop
Verdures with borders,France,Flemish workshop
"Verdure with three trees, two wading birds, and two perhced birds",France,Felletin workshops
Verdure in Lyon Cathedral,France,Tapisserie d'Aubusson
Verdure with lush landscape,France,Tapisserie d'Aubusson
Verdure with lush landscape,France,Tapisserie d'Aubusson
"Verdures with Eliezar and Rébecca, a standing woman, and people walking",France,Tapisserie d'Aubusson
"Set of Aubusson hangings: four tapestries, an entrefenêtre, and a portiere",France,Tapisserie d'Aubusson
Verdure,France,Tapisserie d'Aubusson
Verdure,France,Tapisserie d'Aubusson
Verdure,France,Tapisserie d'Aubusson
Verdure,France,Tapisserie d'Aubusson
Three Verdures,France,Tapisserie d'Aubusson
Verdure with Birds,France,Tapisserie d'Aubusson
Verdure,France,Tapisserie d'Aubusson
Verdure,France,Tapisserie d'Aubusson
Verdure with Birds,France,Tapisserie d'Aubusson
Verdure with Chinese pagoda,France,Tapisserie d'Aubusson
