col0,col1,col2,col3
Archdiocese of San Fernando,San Fernando Cathedral,Filipino,3630000
Archdiocese of Manila,Manila Cathedral,Filipino,3670000
Roman Catholic Archdiocese of Tunis,Cathedral of St. Vincent de Paul,Arabic,11000000
Roman Catholic Archdiocese of Athens,Cathedral Basilica of St. Dionysius the Areopagite,Greek,6285000
Roman Catholic Archdiocese of Eger,Basilica in Eger,Hungarian,1264000
Roman Catholic Archdiocese of Kalocsa-Kecskemét,Assumption Cathedral,Hungarian,530565
Roman Catholic Archdiocese of Zadar,Zadar Cathedral,Croatian,169074
Roman Catholic Archdiocese of Zagreb,Zagreb Cathedral,Croatian,1211298
Roman Catholic Archdiocese of Tokyo,St. Mary's Cathedral,Japanese,19383095
Roman Catholic Archdiocese of Kumasi,"St Peter's Cathedral Basilica, Kumasi",English,1823000
