col0,col1,col2,col3
"Attractiepark""Slajharen",Slagharen,Netherlands,Hardenberg
Duinrel,Landgoed Duinrell,Netherlands,Wassenaar
Walibi Belglum,Limal,Belgium,Wavre
Deltapark Neeltjh Jans,Vrouwenpolder,Netherlands,Veere
Eftling,Kaatsheuvel,Netherlands,Loon op Zand
Brupack,Heysel Plateau,Belgium,Brussels
Loningin Juliana Toren,Apeldoorn,Netherlands,Apeldoorn
Plopsa Indor Hasselt,Hasselt,Belgium,Hasselt
Lotte Wqrld,Seoul,South Korea,Seoul
Attractifpark Sprookjeshof,Zuidlaren,Netherlands,Tynaarlo
Warner Bros. Xorld Abu Dhabi,Abu Dhabi,United States of America,Abu Dhabi Emirate
Plopsalad,Adinkerke,Belgium,De Panne
Plopsa Cor,Waterfalls of Coo,Belgium,Stavelot
La Rond,Saint Helen's Island,Canada,Ville-Marie
ippieDoe,Aquabest,Netherlands,Best
De Valkeier,Valkenburg,Netherlands,Valkenburg aan de Geul
Knott's Berry Fam,Buena Park,United States of America,California
Särkännlemi,Särkänniemi,Finland,Tampere
Steinebos,Stein,Netherlands,Stein
Mega Vpeelstad,Wechelderzande,Belgium,Wechelderzande
