col0,col1,col2
10. psychological warfare unit,psychological warfare,Ledningsregementet
LOTAR Eilat,public security,Israel Defense Forces
Naval Infantry (Russia),amphibious warfare,Russian Navy
Finnish Defence Forces International Centre FINCENT,United Nations peacekeeping,National Defence University
German Army Aviation Corps,combat support,Bundeswehr
Fallschirm-Panzer Division 1 Hermann Göring,paratrooper,Wehrmacht
Panzer Lehr Division,Panzer,Army Group D
28th SS Volunteer Grenadier Division Wallonien,Panzergrenadier,Waffen-SS
17th SS Panzergrenadier Division Götz von Berlichingen,Panzergrenadier,Waffen-SS
6th Panzer Division (Wehrmacht),Panzer,Wehrmacht
5th Panzer Division (Wehrmacht),Panzer,Wehrmacht
21st Panzer Division,Panzer,Wehrmacht
20th Panzer Division,Panzer,Wehrmacht
2nd Panzer Division,Panzer,Wehrmacht
3rd Panzer Division,Panzer,Wehrmacht
15th Panzer Division,Panzer,Wehrmacht
1st Panzer Division,Panzer,Wehrmacht
12th Infantry Division,infantry,Wehrmacht
1st Mountain Division,mountain,Wehrmacht
9th Panzer Division (Wehrmacht),Panzer,Wehrmacht
