col0,col1,col2,col3
Badminton Association of Ghana,Badminton World Federation,1974-01-01,Accra
Persatuan Bulutangkis Seluruh Indonesia,Badminton World Federation,1951-05-05,Jakarta
Deutscher Badminton-Verband,Badminton World Federation,1953-01-01,Mülheim an der Ruhr
Badminton Pan Am,Badminton World Federation,1976-01-01,Lima
Spanish Badminton Federation,Badminton World Federation,1985-01-01,Madrid
Badminton Canada,Badminton World Federation,1921-01-01,Ottawa
Badminton Asia Confederation,Badminton World Federation,1959-01-01,Kuala Lumpur
Badminton Association of Malaysia,Badminton World Federation,1964-01-01,Kuala Lumpur
Badminton Sweden,Badminton World Federation,1936-01-01,Stockholm
Philippine Badminton Association,Badminton World Federation,1952-01-01,Pasig
Nippon Badminton Association,Badminton World Federation,1947-01-01,Tokyo
Chinese Badminton Association,Badminton World Federation,1958-01-01,Beijing
National Badminton Federation of Russia,Badminton World Federation,1992-01-01,Moscow
Polski Związek Badmintona,Badminton World Federation,1977-01-01,Warsaw
