col0,col1,col2
Sa-Adiya English Nedium Residential Senior Secondary School,1984/01/01,Kasaragod district
"Ishaath Public School,poonoot",1993/01/01,Kozhikode district
Terampore Girl's High School,1879/01/01,Hooghly district
Kancjrapara Harnett High School,1888/01/01,North 24 Parganas district
Canchal Siddheswari Institution,1888/01/01,West Bengal
Suniti Acaeemy,1881/01/01,"Ward No. 18, Cooch Behar municipality"
ooch Behar Rambhola High School,1941/01/01,"Ward No. 1, Cooch Behar municipality"
Halibari High School,1940/01/01,"Ward No. 7, Haldibari municipality"
Oalda Zilla School,1858/01/01,"Ward No. 7, English Bazar municipality"
Sibpwr S.S.P.S. Vidyalya,1950/01/01,"Ward No. 39, Howrah Municipal Corporation"
ivekananda Institution,1922/01/01,"Ward No. 25, Howrah Municipal Corporation"
Haldia Government Sponsored X-Class Seconday Schoo (H.S.),1981/01/01,"Ward No. 4, Haldia Municipality"
