col0,col1,col2,col3
Scania K92,Scania D9 (1984),Scania 2-series,Scania
Scania F92,Scania D9 (1984),Scania 2-series,Scania
Scania K112,Scania D11 (1963),Scania 2-series,Scania
Scania S112,Scania D11 (1963),Scania 2-series,Scania
Scania F112,Scania D11 (1963),Scania 2-series,Scania
Scania K82,Scania D8,Scania 2-series,Scania
Scania S82,Scania D8,Scania 2-series,Scania
Scania F82,Scania D8,Scania 2-series,Scania
Scania F114,Scania D11 (1999),Scania 4-series,Scania
Scania K94,Scania D9 (1996),Scania 4-series,Scania
Scania F94,Scania D9 (1996),Scania 4-series,Scania
Scania K124,Scania D12,Scania 4-series,Scania
Scania F93,Scania D9 (1984),Scania 3-series,Scania
Scania K113,Scania D11 (1963),Scania 3-series,Scania
Scania S113,Scania D11 (1963),Scania 3-series,Scania
