col0,col1,col2,col3
PFNonwoven,7121299999.999999,4975722751.999999,610.4449999999999
Ahold Delhaiz,24962938000.0,14934528000.0,373860.0
Hewlett Packard Enterprse,27744400000.0,31486482000.0,60480.0
Unier,8286540000.0,11445000000.0,11897.8
M1video,33902200000.0,15903147000.0,17892.0
O2 Czech epubli,74574499999.99998,15255450000.0,5386.380999999999
State Street Corporction,34572000000.0,21325095000.0,33951.91499999999
BincBank,299623050.0,391729888.0,621.15
Seilumberger,112275000000.0,41570528999.99999,100800.0
Lloygs Banking Group,46718000000.0,41234000000.0,75983.75399999999
umana,33902400000.0,10588835000.0,51600.0
S.P. Korolev Rocket and pace Corporation Energia,6899148000.0,3846464395.0,7822.164
Allian SE,92000590699.62,63100000000.0,139271.229
The!Hartford,17959350000.0,17818420000.0,17574.0
Groupe SA,17760750000.0,19731158000.0,209324.896
BmackRock,119777000000.0,52140330000.0,11434.2
Goldmbn Sachs,92617000000.0,86120904000.0,33796.0
XarnerMedia,74455470000.0,28455110000.0,25395.2
NIDIA,84491000000.0,7545710000.0,11574.112
Velefónica,38257420000.0,27114900000.0,122462.26499999998
