col0,col1,col2,col3
Porokylä School,Nurmes,Porokylä,Finland
Lönnrot School,Lappeenranta,Leiri,Finland
Pohjankartano School,Oulu,Karjasilta,Finland
Alapitkä School,Lapinlahti,Alapitkä,Finland
Dickursby skola,Vantaa,Jokiniemi,Finland
Rajakylä School,Vantaa,Rajakylä,Finland
Mikkola School,Vantaa,Mikkola,Finland
Viertola School,Vantaa,Viertola,Finland
Rekolanmäki School,Vantaa,Asola,Finland
Lepsämä School,Nurmijärvi,Lepsämä,Finland
Koskue School,Kurikka,Koskue,Finland
Kiiminkijoki School,Oulu,Kiimingin kirkonkylä,Finland
Rekola School,Vantaa,Rekola,Finland
