col0,col1,col2
Italian battleship Re Umberto,Regio Cantieri di Castellammare di Stabia,Royal Navy
Italian battleship Italia,Regio Cantieri di Castellammare di Stabia,Royal Navy
Italian battleship Leonardo da Vinci,Oto Melara,Royal Navy
Italian battleship Andrea Doria (1885),La Spezia,Royal Navy
Regina Elena,La Spezia,Royal Navy
Italian battleship Sardegna,La Spezia,Royal Navy
Italian battleship Vittorio Emanuele,Castellammare di Stabia,Royal Navy
Italian battleship Napoli,Castellammare di Stabia,Royal Navy
Italian battleship Francesco Morosini,Venice,Royal Navy
Spanish battleship Jaime I,Sociedad Española de Construcción Naval,Spanish Navy
Spanish battleship España,Sociedad Española de Construcción Naval,Spanish Navy
Japanese battleship Kawachi,Yokosuka Naval Arsenal,Imperial Japanese Navy
Japanese battleship Settsu,Kure Naval Arsenal,Imperial Japanese Navy
French battleship Courbet,Naval Group,French Navy
HMS Edinburgh,Pembroke Dockyard,Royal Navy
